allele	status	v15_system	current_system	v15_phenotype	current_phenotype
GYP*01N	added	MNS_HYBRID		MNS:-1,-2,-3,-4,-5 - or Mk M-N-S-s-U-	
GYP*101.01	added	MNS_HYBRID		MNS:15 or St(a+)	
GYP*101.02	added	MNS_HYBRID		MNS:15 or St(a+)	
GYP*101.03	added	MNS_HYBRID		MNS:15 or St(a+)	
GYP*101.04	added	MNS_HYBRID		MNS:6,15 or He+, St(a+)	
GYP*201.01	added	MNS_HYBRID		MNS:-3,4,20,34 or S-s+, Hil+, MINY+	
GYP*202.01	added	MNS_HYBRID		MNS:3,-4,32,33 or S+s-, TSEN+, MINY+	
GYP*203.01	added	MNS_HYBRID		MNS:-1,2,-3,-4,-5,36 or M-N+S-s-U-, SAT+	
GYP*301.01	added	MNS_HYBRID		MNS:10,32 or Mur+, DANE+	
GYP*301.02	added	MNS_HYBRID		MNS: 10,32,-44 or Mur+, DANE+, ENDA-	
GYP*302.01	added	MNS_HYBRID		MNS:26,27 or Hop+,Nob+	
GYP*302.02	added	MNS_HYBRID		MNS:−26,27,−29 or Hop−,Nob+, ENKT−	
GYP*303	added	MNS_HYBRID		MNS:20, -34 or Hil+, MINY-	
GYP*304	added	MNS_HYBRID			
GYP*401	added	MNS_HYBRID		MNS:15 or St(a+)	
GYP*401.01	added	MNS_HYBRID			
GYP*401.02	added	MNS_HYBRID			
GYP*401.03	added	MNS_HYBRID			
GYP*401.04	added	MNS_HYBRID			
GYP*401.05	added	MNS_HYBRID			
GYP*401.06	added	MNS_HYBRID			
GYP*401.07	added	MNS_HYBRID			
GYP*401.08	added	MNS_HYBRID			
GYP*401.09	added	MNS_HYBRID			
GYP*401.10	added	MNS_HYBRID			
GYP*402	added	MNS_HYBRID		MNS:-3,4,25 or S-s+,Dantu+	
GYP*403	added	MNS_HYBRID			
GYP*501	added	MNS_HYBRID		MNS:-3,4,7,10,20,34,35 S-s+ or Mi(a+), Mur+, Hil+, MINY+, MUT+	
GYP*502	added	MNS_HYBRID		MNS:3,-4,7,10,26,33,34,35 or S+s-, Mi(a+), Mur+, Hop+, TSEN+, MINY+, MUT+	
GYP*503	added	MNS_HYBRID		MNS:-3,4,7,10,20,26,34,35 or S-s+, Mi(a+), Mur+, Hil+, MINY+, MUT+	
GYP*504	added	MNS_HYBRID		MNS:-3,4,7, 20,34,35 or S-s+, Mi(a+), Hil+, MINY+, MUT+	
GYP*505	added	MNS_HYBRID		MNS:-3,-4,-5,6 or S-s-U-He+	
GYP*506	added	MNS_HYBRID		MNS:-3,4,7,10,20,34,35,48 or s+, Mi(a+), Mur+, MUT+, MINY+, Hil+, KIPP+	
GYP*507	added	MNS_HYBRID			
GYP*508	added	MNS_HYBRID			
GYP*509	added	MNS_HYBRID			
GYP*601	added	MNS_HYBRID			
GYP*602	added	MNS_HYBRID			
GYP*604	added	MNS_HYBRID			
GYP*Hut	added	MNS_HYBRID			
GYP*Mc	added	MNS_HYBRID			
GYP*Mg	added	MNS_HYBRID			
GYP*Vw	added	MNS_HYBRID			
GYPA*01N.02	added	GYPA		MNS:-1,-28 or M-N- En(a-)	
GYPA*01N.03	added	GYPA		MNS:-1,-2,-28 or M-N- En(a-)	
GYPA*01W.01	added	GYPA		MNS:w1 or M+w	
GYPA*02N.01	added	GYPA		MNS:-1,-2,-28 or M-N- En(a-)	
GYPA*09.02	added	GYPA		MNS:2,7,9,−40 or Vw+	
GYPA*28N.01	added	MNS_HYBRID		MNS:-1,-2,-28 or M-N- En(a-)	
GYPA*50	added	GYPA		MNS:50 or SUMI+	
GYPB*03.02	added	GYPB		MNS:3 (S+ partial)	
GYPB*03.03	added	GYPB		MNS:w3 or S+w	
GYPB*03.04	added	GYPB		MNS:3 (S+ partial)	
GYPB*03.05	added	GYPB		MNS:w3 or S+w	
GYPB*03.06	added	GYPB		MNS:3 or S+	
GYPB*03.07	added	GYPB		MNS:3 or S+	
GYPB*03N.05	added	GYPB		MNS:-3,w5 or S-U+var	
GYPB*03N.06	added	GYPB		MNS:-3,w5 or S-U+var	
GYPB*03N.07	added	GYPB		MNS:-3,w5 or S-U+var	
GYPB*03N.08	added	GYPB		MNS:-3,-5 or S–U–	
GYPB*04.02	added	GYPB		MNS:4 (s+ partial)	
GYPB*04.03	added	GYPB		MNS:w4,w5 or s+w, U+w	
GYPB*04.04	added	GYPB		MNS:4,5 (s+, U+) altered GPB	
GYPB*04.05	added	GYPB		MNS:4 or s+	
GYPB*04.06	added	GYPB		MNS:4,5 (s+, U+) altered U/GPB	
GYPB*04.07	added	GYPB		MNS:4 or s+	
GYPB*04N.02	added	GYPB		MNS:-4,-5 or s-U-	
GYPB*04N.03	added	GYPB		MNS:-4,w5 or s-U+var	
GYPB*04N.04	added	GYPB		MNS:-4,-5 or s-U-	
GYPB*04N.05	added	GYPB		MNS:-3,-4,-5 or S-s-U-	
GYPB*04N.06	added	GYPB		MNS:-4, or s-	
GYPB*04N.09	added	GYPB		MNS:-4 or S-s-U-	
GYPB*05N.01	added	GYPB		MNS:-3,-4,-5 or S-s-U-	
GYPB*05N.02	added	GYPB		MNS:-3,-4,-5 or S-s-U-	
GYPB*05N.03	added	GYPB		MNS:-3,-4,-5 or S-s-U-	
GYPB*05N.04	added	GYPB		MNS:-3,-4,-5 or S-s-U-	
IN*02.-06	added	IN		IN: –6 or INSL–	
JK*01N.01	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.12	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.13	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.14	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.15	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.16	added	JK		JK:-3 or Jk(a-b-)	
