allele	status	v15_system	current_system	v15_phenotype	current_phenotype
KLF*BGM68	added	KLF1		In(Lu)	
KLF*BGM69	added	KLF1		In(Lu)	
KLF*BGM70	added	KLF1		In(Lu)	
KLF*BGM71	added	KLF1		In(Lu)	
KLF*BGM72	added	KLF1		In(Lu)	
KLF*BGM73	added	KLF1		In(Lu)	
KN*01.-13	added	KN		KN:-13 or KNMB-	
KN*01.10	added	KN		KN:-9 or KCAM- KN:10 or KDAS+	
KN*01.12	added	KN		KN:-11 or DACY- KN:12 or YCAD+	
KN*01W	added	KN		Helgeson Phenotype	
KN*02.10	added	KN		KN:2 or Kn(a-b+), KN:-9 or KCAM-, KN:10 or KDAS+	
LU*02.-27	added	LU		LU:-27, LUYA-	
LU*02.-28	added	LU		LU:-28, LUNU-	
LU*02.-29	added	LU		LU:-29, LURA-	
LU*02.-30	added	LU		LU:-30, LUOM-	
LU*02N.02	added	LU		Lunull	
LU*02N.05	added	LU		Lunull	
LU*02N.06	added	LU		Lunull	
LU*02N.07	added	LU		Lunull	
LU*02W.01	added	LU		Lu(b+w)	
LU*02W.02	added	LU		Lu(b+w)	
LU*02W.03	added	LU		Lu(b+w)	
LW*05.-8	added	LW		LW:-8 or LWEM-	
LW*05N.02	added	LW		LW:-6 or LW(a-b-)	
LW*05N.03	added	LW		LW:-6 or LW(a-b-)	
MAL*01	added	MAL		MAL:1 or AnWj+	
MAL*01N.01	added	MAL		MAL:-1 or AnWj‒	
MAM*01	added	MAM		MAM:1 or MAM+	
MAM*01N.01	added	MAM		MAM:-1 or MAM-	
MAM*01N.02	added	MAM		MAM:-1 or MAM-	
MAM*01N.03	added	MAM		MAM:-1 or MAM-	
MAM*01N.04	added	MAM		MAM:-1 or MAM-	
MAM*01N.05	added	MAM		MAM:-1 or MAM-	
PIGG*01	added	EMM		EMM:1 or Emm+	
PIGG*01N.01	added	EMM		EMM:-1 or Emm-	
PIGG*01N.02	added	EMM		EMM:-1 or Emm-	
PIGG*01N.03	added	EMM		EMM:-1 or Emm-	
PIGG*01N.04	added	EMM		EMM:-1 or Emm-	
PIGG*01N.05	added	EMM		EMM:-1 or Emm-	
PIGG*01N.06	added	EMM		EMM:-1 or Emm-	
PIGG*01N.07	added	EMM		EMM:-1 or Emm-	
PIGG*01N.08	added	EMM		EMM:-1 or Emm-	
RAPH*01.-01.01	added	RAPH		RAPH:-1 or MER2−	
RAPH*01.-01.02	added	RAPH		RAPH:-1 or MER2−	
RAPH*01.-01.03	added	RAPH		RAPH:-1 or MER2-	
RHAG*01.-01	added	RHAG		RHAG:−1 or Duclos−	
RHAG*01.-03	added	RHAG		RHAG:−3 or DSLK− RHAG:5 or Kg+	
RHAG*01.02	added	RHAG		RHAG:2 or Ol(a+), RHAG weak	
RHAG*01.06	added	RHAG		RHAG:6 or SHER	
RHAG*01.07	added	RHAG		RHAG:7 or THIN	
RHAG*01M.12	added	RHAG		Rhmod	
RHAG*01M.13	added	RHAG		Rhmod	
RHAG*01M.14	added	RHAG		Rhmod	
RHAG*01M.15	added	RHAG		Rhmod	
RHAG*01N.15	added	RHAG		Rhnull	
RHAG*01N.17	added	RHAG		Rhnull	
RHAG*01N.19	added	RHAG		Rhnull	
RHAG*01N.20	added	RHAG		Rhnull	
RHAG*01N.21	added	RHAG		Rhnull	
RHAG*01N.22	added	RHAG		Rhnull	
RHAG*01N.23	added	RHAG		Rhnull	
RHAG*01N.24	added	RHAG		Rhnull	
RHAG*01N.25	added	RHAG		Rhnull	
RHAG*01N.26	added	RHAG		Rhnull	
RHAG*01N.27	added	RHAG		Rhnull	
RHCE*01	added	RHCE		RH:4 or c RH:5 or e RH:6 or f (ce)	
RHCE*01.01	added	RHCE		RH:5 (e+ weak)	
RHCE*01.02.01	added	RHCE		RH:4 (c+ weak, partial) RH:5 (e+ weak, partial)	
RHCE*01.02.02	added	RHCE			
RHCE*01.03	added	RHCE		RH:5 (e+ partial)	
RHCE*01.04.01	added	RHCE		RH:4 (c+ partial) RH:5 (e+ weak, partial) RH:10,-20 (V+ weak, VS-) RH:-18,-19 (Hr-, hrS-)	
RHCE*01.04.02	added	RHCE		Inferred as RHCE*01.04.01 RHCE*ceAR	
RHCE*01.04.03	added	RHCE		Inferred as RHCE*01.04.01 RHCE*ceAR	
RHCE*01.04.04	added	RHCE		Inferred as RHCE*01.04.01 RHCE*ceAR	
RHCE*01.05.01	added	RHCE		RH:4 (c+ partial) RH:5 (e+ weak, partial) RH:-18,-19 (Hr-, hrS-)	
RHCE*01.05.02	added	RHCE		RH:4 (c+ partial) RH:5 (e+ partial) RH:-18,-19 (Hr-, hrs-)	
RHCE*01.06.01	added	RHCE		RH:5 (e+ weak, partial) RH:-59 (CEAG-) RH:-31 (hrB-)	
RHCE*01.06.02	added	RHCE			
RHCE*01.06.03	added	RHCE			
RHCE*01.06.04	added	RHCE			
RHCE*01.06.05	added	RHCE		RH:2 (C+ partial, robust C+ expression) RH:5 (e+)	
RHCE*01.07.01	added	RHCE		RH:4 (c+ partial) RH:5 (e+ weak, partial) RH:-19 (hrS-) RH:-31 (hrB-) RH:-61 (CEVF-)	
RHCE*01.07.02	added	RHCE		RH:4 (c+ partial) RH:5 (e+ weak, partial) RH:-19 - (hrS-) RH:-31 (hrB-) RH:-61 (CEVF-)	
RHCE*01.08	added	RHCE		RH:5 (e+ partial, weak to neg) RH:-18,-19 (Hr-, hrs-) RH:49 (STEM+)	
RHCE*01.09	added	RHCE		RH:5 (e+ positive to negative) RH:-18 (Hr-) inferred RH:-19 (hrs-) Rh:49 (STEM+ weak)	
RHCE*01.10.01.01	added	RHCE		RH:5 (e+ weak) Some monoclonal anti-D cross- react	
RHCE*01.10.01.02	added	RHCE		RH:5 (e+ weak) Some monoclonal anti-D cross- react	
RHCE*01.10.02	added	RHCE		RH:5 (e+ weak) Some monoclonal anti-D cross- react	
RHCE*01.11	added	RHCE		RH:5 (e+ weak) Some monoclonal anti-D cross- react	
RHCE*01.12	added	RHCE		RH:5 (e+ weak)	
RHCE*01.13	added	RHCE		RH:5 (e+ very weak) RH:58 (CELO+ weak)	
RHCE*01.14	added	RHCE		RH:4 (c+ weak) RH:5 (e+ weak) RH:36 (Bea+)	
RHCE*01.15	added	RHCE		RH:4 (c+ weak) RH:5 (e+ weak) RH:55 (LOCR+) RH:-26	
RHCE*01.16	added	RHCE		RH:5 (e+ weak)	
RHCE*01.17	added	RHCE		Some monoclonal anti-D crossreact	
RHCE*01.18	added	RHCE		RH:5 (e+ weak)	
RHCE*01.20.01	added	RHCE		RH:4 (c+ partial) RH:5 (e+ partial) RH:10,20 (V+VS+) RH:31 (hrB + very weak to neg)	
RHCE*01.20.02.01	added	RHCE		RH:4 (c+ partial) RH:5 (e+ partial) RH:10,20 (V+VS+) RH:-31 (hrB-)	
RHCE*01.20.02.02	added	RHCE		Inferred as RHCE*01.20.02.01	
RHCE*01.20.03	added	RHCE		RH:4 (c+ partial) RH:5 (e+ partial) RH:-10,20 (V-VS+) RH:-31 (hrB-)	
RHCE*01.20.04.01	added	RHCE		RH:5 (e+ partial) RH:10,20 (V+VS+) Probable RH:-31 (hrB-)	
RHCE*01.20.04.02	added	RHCE		Inferred as RHCE*01.20.04.01 RHCE*ceTI type 2	
RHCE*01.20.05	added	RHCE		RH:5 (e+ partial) RH:-10,20 (V-VS+) RH:-31 (hrB-)	
RHCE*01.20.06	added	RHCE		RH:4 (c+ partial) RH:5 (e+ partial, positive to negative) RH:20 (VS+) RH:-19,-31 (hrS-, hrB-) RH:43 (Crawford+) RH:-58 (CELO-) Some monoclonal anti-D cross- react	
RHCE*01.20.06.02	added	RHCE		Some monoclonal anti-D cross- react	
RHCE*01.20.07	added	RHCE		RH:4 (c+ partial, weak to neg) RH:5 (e+ partial, weak to neg) RH:10 (V+ weak to neg) RH:19 (hrS+ weak to neg) RH:20 (VS+ weak to neg) RH:31 (hrB + weak to neg) RH:48 (JAL+) RH:-57 (CEST-)	
RHCE*01.20.08	added	RHCE		RH:5 (e+ weak) RH:10,20 (V+VS+) Probable RH:-31 (hrB-)	
RHCE*01.20.09	added	RHCE		RH:5 (e+ weak) RH:10,20 (V+VS+) RH:31 (hrB + weak)	
RHCE*01.20.10	added	RHCE		Probable RH:4 (c+ partial): Probable RH:5 (e+ partial)	
RHCE*01.20.11	added	RHCE			
RHCE*01.20.12	added	RHCE		Some monoclonal anti-D cross-react	
RHCE*01.20.13	added	RHCE		RH:5 (e+) RH:9 (CX+) RH:20 (VS+)	
RHCE*01.21.01	added	RHCE		RH:5 (e+ weak) RH:48 (JAL+)	
RHCE*01.21.02	added	RHCE		RH:5 (e+ weak) RH:48 (JAL+)	
RHCE*01.22.01	added	RHCE		RH:5 (e+ weak) RH:33 (DHAR+) RH:50 (FPTT+) Some monoclonal anti-D cross-react	
RHCE*01.22.02	added	RHCE		Inferred as RHCE*01.22.01 RHCE*ceHAR.01	
RHCE*01.23	added	RHCE		RH:5 (e+ weak)	
RHCE*01.24	added	RHCE		RH:5 (e+ weak)	
RHCE*01.25	added	RHCE		RH:5 (e+ weak)	
RHCE*01.26	added	RHCE		RH:5 (e+ weak)	
RHCE*01.27	added	RHCE		RH:5 (e+ weak)	
RHCE*01.28	added	RHCE		RH:4 (c+ weak)	
RHCE*01.29	added	RHCE		RH:4,-5 (c+e-)	
RHCE*01.30	added	RHCE		RH:5 (e+ weak)	
RHCE*01.31	added	RHCE		RH:5 (e+ weak)	
RHCE*01.32	added	RHCE			
RHCE*01.33	added	RHCE		RH:5 (e+ partial, weak to neg) RH:-31 (hrB-)	
RHCE*01.34	added	RHCE		RH:4 (c+ partial) RH:-5 (e-)	
RHCE*01.35	added	RHCE			
RHCE*01.36	added	RHCE		RH:2 (robust C+ expression) RH:-4 (c-)	
RHCE*01.37	added	RHCE			
RHCE*01.38	added	RHCE		RH:5 (e+ weak)	
RHCE*01.39	added	RHCE		RH:2 (C+ weak) RH:-4 (c-)	
RHCE*01.40	added	RHCE		RH:4 (c+ weak)	
RHCE*01.41	added	RHCE		RH:-8 (CW-) RH:9 (CX+ weak) Rh:-51 (MAR-) RH:-62 (PARG-)	
RHCE*01.42	added	RHCE		Some monoclonal anti-D crossreact	
RHCE*01.43	added	RHCE		RH:3 (E+ weak to neg)	
RHCE*01.44	added	RHCE		RH:4 (c+ partial, weak) RH:5 (e+ partial, weak)	
RHCE*01N.01	added	RHCE		RH:-4,-5,-17 (c-e-)	
RHCE*01N.02	added	RHCE		RH:-4,-5,-17 (c-e-)	
RHCE*01N.03	added	RHCE		RH:-4,-5,-17 (c-e-)	
RHCE*01N.04	added	RHCE		RH:-4,-5,-17 (c-e-), inferred (ce in trans)	
RHCE*01N.05	added	RHCE		RH:-5 (e-) (cE in trans)	
RHCE*01N.06	added	RHCE		RH:-4,-5,-17 (c-e-)	
RHCE*01N.07	added	RHCE		RH:-4 (c-) (ce or Ce in trans)	
RHCE*01N.08	added	RHCE		RH:-4,-5,-17 (c-e-)	
RHCE*01N.09	added	RHCE		RH:-4,-5,-17 (c-e-)	
RHCE*01N.10	added	RHCE		RH:-4,-5 (c-e-)	
RHCE*01N.11	added	RHCE		RH:-4 (c-) (Ce in trans)	
RHCE*01N.12	added	RHCE		RH:-4 (c-) (Ce in trans)	
RHCE*01N.13	added	RHCE		RH:-4 (c-) (Ce in trans)	
RHCE*02	added	RHCE		RH:2 or C RH:5 or e RH:7 or Ce	
RHCE*02.01	added	RHCE		RH:2 (C+ weak to neg) RH:5 (e+ weak) RH:48 (JAL+)	
RHCE*02.02	added	RHCE		RH:2 (C+) RH:5 (e+)	
RHCE*02.03	added	RHCE		RH:2 (C+ weak to neg) RH:5 (e+ weak) RH:53 (JAHK+)	
RHCE*02.04	added	RHCE		RH:2 (C+ partial, weak to neg)	
RHCE*02.04.01	added	RHCE		RH:2 (C+ weak) RH:5 (e+ weak)	
RHCE*02.05	added	RHCE		RH:60 (PARG+)	
RHCE*02.08.01	added	RHCE		RH:2 (C+ partial) RH:5 (e+ partial) RH:8 (CW+) RH:-51 (MAR-)	
RHCE*02.08.02	added	RHCE		RH:8 (CW+) RH:-56 (CENR-)	
RHCE*02.09	added	RHCE		RH:2 (C+ partial) RH:9 (C*+) RH:-51 (MAR-)	
RHCE*02.10.01	added	RHCE		RH:1 (D+) in the absence of conventional D RH:2 (C+ partial, weak to neg) RH:5 (e+ partial, weak) RH:32 RH:54 (DAK+) RH:-46 (Sec-)	
RHCE*02.10.02	added	RHCE		RH:2 (C+ partial, weak to neg) RH:5 (e+ partial, weak) RH:32 RH:54 (DAK+) RH:-46 (Sec-)	
RHCE*02.11	added	RHCE		RH:2 (C+ weak) RH:5 (e+) RH:55 (LOCR+)	
RHCE*02.12	added	RHCE		RH:2 (C+ weak)	
RHCE*02.13	added	RHCE		RH:5 (e+ weak)	
RHCE*02.14	added	RHCE		RH:2 (C+ weak)	
RHCE*02.15	added	RHCE		RH:5 (e+ weak)	
RHCE*02.16	added	RHCE		RH:2 (C+ weak) RH:5 (e+ weak)	
RHCE*02.17	added	RHCE		RH:5 (e+ weak)	
RHCE*02.18	added	RHCE		RH:2 (C+ weak) RH:5 (e+ weak)	
RHCE*02.19	added	RHCE		RH:5 (e+ weak)	
RHCE*02.20	added	RHCE		RH:2 (C+ weak) RH:5 (e+ weak)	
RHCE*02.21	added	RHCE		RH:2 (C+ weak)	
RHCE*02.22	added	RHCE		RH:2 (C+ weak) RH:5 (e+ partial, weak)	
RHCE*02.23	added	RHCE		RH:2 (C+ weak)	
RHCE*02.24	added	RHCE		RH:2 (C+ weak) RH:5 (e+ weak)	
RHCE*02.25	added	RHCE		RH:2 (C+ weak)	
RHCE*02.26	added	RHCE		RH:2 (C+ weak) RH:5 (e+ weak)	
RHCE*02.27	added	RHCE		RH:2 (C+ weak) RH:5 (e+ weak)	
RHCE*02.28	added	RHCE		RH:2,5 (C+e+) RH:9 (CX+)	
RHCE*02.29	added	RHCE		RH:2 (C+) RH:3 (E+ pos to neg) RH:5 (e+)	
RHCE*02.30	added	RHCE		RH:2,5 (C+ e+) RH:10,20 (V+VS+)	
RHCE*02.31	added	RHCE		RH:2 (C+ weak) RH:5 (e+ weak)	
RHCE*02.32	added	RHCE		RH:2 (C+ weak)	
RHCE*02.33	added	RHCE		RH:2 (C+ weak)	
RHCE*02.34	added	RHCE		RH:2 (C+ weak) RH:5 (e+ weak)	
RHCE*02.35	added	RHCE		RH:2 (C+ weak)	
RHCE*02.36	added	RHCE		RH:2 (C+ weak)	
RHCE*02.37	added	RHCE		RH:2 (C+)	
RHCE*02.38	added	RHCE		RH:2 (C+ weak) RH:5 (e+ weak)	
RHCE*02.39	added	RHCE		RH:2 (C+ very weak)	
RHCE*02.40	added	RHCE		RH:2 (C+ weak, mixed field) RH:-10 (V-)	
RHCE*02N.01	added	RHCE		RH:-2,-5,-17 (C-e-)	
RHCE*02N.02	added	RHCE		RH:-2 (C-) RH:-5 (e-) inferred RH:-17 inferred	
RHCE*02N.03	added	RHCE		RH:-2 (C-) (ce in trans)	
RHCE*02N.04	added	RHCE		RH:-2,-5 (C-e-) RH:-17, inferred	
RHCE*02N.05	added	RHCE		RH:-2,-5 (C-e-) RH:-17, inferred	
RHCE*02N.06	added	RHCE		RH:-2,-5,-17 (C-e-)	
RHCE*02N.07	added	RHCE		RH:-2,-5,-17 (C-e-)	
RHCE*02N.08	added	RHCE		RH:-2,-5,-17 (C-e-)	
RHCE*02N.09	added	RHCE		RH:-2,-5,-17 (C-e-)	
RHCE*02N.10	added	RHCE		RH:-2 (C-) RH:-5 (e-) inferred RH:-17 inferred	
RHCE*02N.11	added	RHCE		RH:-2,-5 (C-e-) RH:-17, inferred	
RHCE*02N.12	added	RHCE		RH:-2 (C-) RH:-5 (e-) inferred RH:-17 inferred	
RHCE*02N.13	added	RHCE		RH:-2 (C- ) RH:-5 (e-) inferred	
RHCE*02N.14	added	RHCE		RH:-2,-5,-17 (C-e-)	
RHCE*03	added	RHCE		RH:4 or c RH:3 or E RH:27 or cE	
RHCE*03.01	added	RHCE		RH:3 (E+ partial, weak to neg) RH:11 (EW+)	
RHCE*03.02	added	RHCE		RH:3 (E+ partial, weak to neg) RH:4 (c+ weak to neg)	
RHCE*03.03	added	RHCE		RH:3 (E+ partial, weak to neg)	
RHCE*03.03.02	added	RHCE		RH:3 (E+ partial, weak to neg)	
RHCE*03.03.03	added	RHCE		RH:3 (E+ partial, weak to neg)	
RHCE*03.04	added	RHCE		RH:3 (E+ partial, weak to neg) RH:4 (c+ weak)	
RHCE*03.05	added	RHCE		RH:3 (E+ partial, weak to neg) RH:4 (c+ weak to neg)	
RHCE*03.06	added	RHCE		RH:3 (E+ weak) RH:4 (c+ weak)	
RHCE*03.07	added	RHCE		RH:3 (E+ weak)	
RHCE*03.08	added	RHCE		RH:3 (E+ weak)	
RHCE*03.09	added	RHCE		RH:3 (E+ weak) RH:4 (c+ weak)	
RHCE*03.10	added	RHCE		RH:3 (E+ weak)	
RHCE*03.11	added	RHCE		RH:3 (E+ weak) RH:4 (c+ weak)	
RHCE*03.12	added	RHCE		RH:3 (E+ weak)	
RHCE*03.13	added	RHCE		RH:3 (E+ weak) RH:4 (c+ weak)	
RHCE*03.14	added	RHCE		RH:3 (E+ very weak to neg) RH:4 (c+ weak)	
RHCE*03.15.01	added	RHCE		RH:3 (E+ weak)	
RHCE*03.15.02	added	RHCE		RH:3 (E+ weak)	
RHCE*03.16	added	RHCE		RH:4 (c+ weak)	
RHCE*03.17	added	RHCE		RH:3 (E+ partial)	
RHCE*03.18	added	RHCE		RH:3 (E+) RH:4 (c+)	
RHCE*03.19	added	RHCE		RH:3 (E+ weak to neg) RH:4 (c+ weak to neg)	
RHCE*03.20	added	RHCE		RH:3 (E+ weak to neg) RH:4 (c+ weak)	
RHCE*03.21	added	RHCE		RH:3 (E+ weak)	
RHCE*03.22	added	RHCE		RH:3 (E+ weak)	
RHCE*03.23	added	RHCE		RH:3 (E+ weak)	
RHCE*03.24	added	RHCE		RH:3 (E+ weak)	
RHCE*03.26	added	RHCE		RH:2 (C+ weak to neg) RH:3 (E+)	
RHCE*03.27	added	RHCE		Some monoclonal anti-C cross-react	
RHCE*03.28	added	RHCE		RH:3 (E+ weak to neg)	
RHCE*03.29	added	RHCE		RH:3 (E+ very weak) RH:4 (c+ weak to neg)	
RHCE*03.30	added	RHCE		RH:3 (E+ very weak)	
RHCE*03.31	added	RHCE		RH:3 (E+ very weak to neg) RH:4 (c+ weak to neg) RH: 17	
RHCE*03.32	added	RHCE		RH:3 (E+ weak to neg)	
RHCE*03N.02	added	RHCE		RH:-3,-4,-17 (E-c-)	
RHCE*03N.03	added	RHCE		RH:-3,-4 (E-c-) RH:-17 inferred	
RHCE*03N.04	added	RHCE		RH:-3,-4,-17 (E-c-)	
RHCE*03N.05	added	RHCE		RH:-3,-4,-17 (E-c-)	
RHCE*03N.06	added	RHCE		RH:-3,-4 (E-c-) RH:-17 inferred	
RHCE*03N.07	added	RHCE		RH:-3,-4,-17 (E-c-)	
RHCE*04	added	RHCE		RH:2 or C RH:3 or E RH:22 or CE	
RHCE*04.01	added	RHCE		RH:2 (C+ weak) RH:3 (E+ weak to neg)	
RHCE*04.02	added	RHCE		RH:2 (C+ weak to neg) RH:3 (E+ weak to neg)	
RHD*01EL.15	added	RHD		Del or D negative	
RHD*01EL.17	added	RHD		Del	
RHD*01EL.22	added	RHD		Del	
RHD*01EL.23	added	RHD		Del Partial D	
RHD*01EL.30	added	RHD		Del	
RHD*01EL.35	added	RHD		Del	
RHD*01EL.37	added	RHD		Del	
RHD*01EL.38	added	RHD		Del	
RHD*01EL.44	added	RHD		Del	
RHD*01EL.46	added	RHD		Del	
RHD*01EL.47	added	RHD		DEL Partial D	
RHD*01EL.48	added	RHD		DEL Partial D	
RHD*01EL.49	added	RHD		Del	
RHD*01EL.50	added	RHD		Del	
RHD*01N.02	added	RHD		D-	
RHD*01N.03	added	RHD		D-	
RHD*01N.04	added	RHD		D-	
RHD*01N.05	added	RHD		D-	
RHD*01N.06	added	RHD		D- C+ very weak	
RHD*01N.07	added	RHD		D-G+	
RHD*01N.31	added	RHD		D-	
RHD*01N.42	added	RHD		D-	
RHD*01N.43	added	RHD		D-	
RHD*01N.67	added	RHD		D-	
RHD*01N.82	added	RHD		D-	
RHD*01N.83	added	RHD		D-	
RHD*01N.84	added	RHD		D-	
RHD*01N.85	added	RHD		D-	
RHD*01N.86	added	RHD		D-	
RHD*01W.1.2	added	RHD		Type1.2	
RHD*01W.1.3	added	RHD		Type 1.3	
RHD*01W.136	added	RHD		Type 136	
RHD*01W.137	added	RHD		Type 137	
RHD*01W.138	added	RHD		Type 138	
RHD*01W.139	added	RHD		Type 139	
RHD*01W.140	added	RHD		Type 140	
RHD*01W.141	added	RHD		Type 141	
RHD*01W.142	added	RHD		Type 142	
RHD*01W.143	added	RHD		Type 143	
RHD*01W.144	added	RHD		Type 144	
RHD*01W.145	added	RHD		Type 145	
RHD*01W.146	added	RHD		Type 146	
RHD*01W.147	added	RHD		Type 147	
RHD*01W.148	added	RHD		Type 148	
RHD*01W.149	added	RHD		Type 149	
RHD*01W.150	added	RHD		Type 150	
RHD*01W.151	added	RHD		Type 151	
RHD*01W.152	added	RHD		Type 152	
RHD*01W.153	added	RHD		Type 153	
RHD*01W.154	added	RHD		Type 154	
RHD*01W.155	added	RHD		Type 155	
RHD*01W.156	added	RHD		Type 156	
RHD*01W.157	added	RHD		Type 157	
RHD*01W.158	added	RHD		Type 158	
RHD*01W.159	added	RHD		Type 159	
RHD*01W.160	added	RHD		Type 160	
RHD*01W.161	added	RHD		Type 161	
RHD*01W.162	added	RHD		Type 162	
RHD*01W.163	added	RHD		Type 163	
RHD*01W.164	added	RHD		Type 164	
RHD*01W.165	added	RHD		Type 165	
RHD*01W.2.2	added	RHD		Type2.2	
RHD*01W.3.1	added	RHD		Type3.1	
RHD*01W.57	added	RHD		Type 57	
RHD*03.09	added	RHD		DIII type 9	
RHD*03N.01	added	RHD		D- C+	
RHD*03N.02	added	RHD			
RHD*09.01	added	RHD		DAR(T203A)	
RHD*09.02	added	RHD		DAR2 (DARE)	
RHD*12.04	added	RHD		DOL4	
RHD*16.03	added	RHD		DCS-3	
RHD*41	added	RHD			
RHD*63	added	RHD		Weak partial D	
RHD*64	added	RHD		Partial D	
RHD*65	added	RHD		Partial D	
RHD*66	added	RHD		Partial D	
SC*01.-08	added	SC		SC:-8 or SCAR-	
SC*01.-09	added	SC		SC:-9 or SCAC-	
SID*01	added	SID		SID1 or Sd(a+)	
SID*01N.01	added	SID		Sd(a-)	
SID*01N.02	added	SID		Sd(a-)	
SID*01N.03	added	SID		Sd(a-)	
SID*01N.04	added	SID		Sd(a-)	
See partial RHD*11	added	RHD		Type 11 weak partial or Del phenotype	
See partial RHD*15	added	RHD		Type 15 weak partial phenotype	
See partial RHD*21	added	RHD		Type 21	
Unclear Jr Phenotype 1	added	JR		Unclear Jr Phenotype	
Unclear Jr Phenotype 2	added	JR		Unclear Jr Phenotype	
Unclear Jr Phenotype 3	added	JR		Unclear Jr Phenotype	
Unclear Jr Phenotype 4	added	JR		Unclear Jr Phenotype	
Unclear Jr Phenotype 5	added	JR		Unclear Jr Phenotype	
VEL*01.01	added	VEL		Velstrong	
VEL*01N.01	added	VEL		VEL-	
VEL*01W.03	added	VEL		VELweak	
VEL*01W.05	added	VEL		VELweak	
XG*01N.02	added	XG		Xg(a-)	
XG*01N.03	added	XG		Xg(a-)	
XK*01.02	added	XK		XK:1 or Kx+	
XK*N.01	added	XK		XK:-1 kx-	
XK*N.01.001	added	XK		XK:-1 kx-	
XK*N.01.002	added	XK		XK:-1 kx-	
XK*N.01.003	added	XK		XK:-1 kx-	
XK*N.01.004	added	XK		XK:-1 kx-	
XK*N.01.005	added	XK		XK:-1 kx-	
XK*N.01.006	added	XK		XK:-1 kx-	
XK*N.01.007	added	XK		XK:-1 kx-	
XK*N.01.008	added	XK		XK:-1 kx-	
XK*N.01.009	added	XK		XK:-1 kx-	
XK*N.01.010	added	XK		XK:-1 kx-	
XK*N.01.011	added	XK		XK:-1 kx-	
XK*N.01.100	added	XK		XK:-1 kx-	
XK*N.01.101	added	XK		XK:-1 kx-	
XK*N.01.102	added	XK		XK:-1 kx-	
XK*N.01.103	added	XK		XK:-1 kx-	
XK*N.01.104	added	XK		XK:-1 kx-	
XK*N.01.105	added	XK		XK:-1 kx-	
XK*N.02	added	XK		XK:-1 kx-	
XK*N.03	added	XK		XK:-1 kx-	
XK*N.04	added	XK		XK:-1 kx-	
XK*N.05	added	XK		XK:-1 kx-	
XK*N.30	added	XK		XK:-1 kx-	
XK*N.31	added	XK		XK:-1 kx-	
XK*N.32	added	XK		XK:-1 kx-	
XK*N.33	added	XK		XK:-1 kx-	
XK*N.34	added	XK		XK:-1 kx-	
XK*N.35	added	XK		XK:-1 kx-	
XK*N.36	added	XK		XK:-1 kx-	
XK*N.37	added	XK		XK:-1 kx-	
XK*N.38	added	XK		XK:-1 kx-	
XK*N.39	added	XK		XK:-1 kx-	
XK*N.40	added	XK		XK:-1 kx-	
XK*N.41	added	XK		XK:-1 kx-	
XK*N.42	added	XK		XK:-1 kx-	
XK*N.43	added	XK		XK:-1 kx-	
XK*N.44	added	XK		XK:-1 kx-	
XK*N.45	added	XK		XK:-1 kx-	
XK*N.46	added	XK		XK:-1 kx-	
XK*N.47	added	XK		XK:-1 kx-	
XK*N.48	added	XK		XK:-1 kx-	
XK*N.49	added	XK		Predicted Kx negative Note that weak k antigen expression was observed.	
YT*01.-03	added	YT		YT:-3 or YTEG-	
YT*01.-04	added	YT		YT:-4 or YTLI-	
YT*01.-05	added	YT		YT:-5 or YTOT-	
A4GALT*01N.01.01	retired		P1PK		p
A4GALT*01N.01.02	retired		P1PK		p
A4GALT*01N.02	retired		P1PK		p
A4GALT*01N.04	retired		P1PK		p
A4GALT*01N.05	retired		P1PK		p
A4GALT*01N.06	retired		P1PK		p
A4GALT*01N.07	retired		P1PK		p
A4GALT*01N.08	retired		P1PK		p
A4GALT*01N.09.02	retired		P1PK		p
A4GALT*01N.12	retired		P1PK		p
A4GALT*01N.14	retired		P1PK		p
A4GALT*01N.15	retired		P1PK		p
A4GALT*01N.20	retired		P1PK		p
A4GALT*01N.21	retired		P1PK		p
A4GALT*01N.22	retired		P1PK		p
A4GALT*01N.23	retired		P1PK		p
A4GALT*02N.01	retired		P1PK		p
A4GALT*02N.02	retired		P1PK		p
A4GALT*02N.03	retired		P1PK		p
A4GALT*02N.04	retired		P1PK		p
A4GALT*02N.05	retired		P1PK		p
A4GALT*02N.06	retired		P1PK		p
A4GALT*02N.07	retired		P1PK		p
A4GALT*02N.08	retired		P1PK		p
A4GALT*04	retired		P1PK		p
A4GALT*P2.01	retired		P1PK		P1– Pk+
CO*02	retired		CO		Co(b+)
FUT1*02	retired		H		H–
FUT1*02N.01	retired		H		H–
FUT1*02W.01	retired		H		H+weak
FUT1*02W.02	retired		H		H+weak
FUT1*02W.03	retired		H		H+weak
FUT1*02W.04	retired		H		H+weak
FUT1*02W.05	retired		H		H+weak
FUT3	retired		LE		FUT3
FUT3_1049T	retired		LE		FUT3_1049T
FUT3_104A	retired		LE		FUT3_104A
FUT3_1060G	retired		LE		FUT3_1060G
FUT3_1067A	retired		LE		FUT3_1067A
FUT3_13A,179A,484A,808A	retired		LE		FUT3_13A,179A,484A,808A
FUT3_13A,484A,522A,667A	retired		LE		FUT3_13A,484A,522A,667A
FUT3_13A,484A,667A	retired		LE		FUT3_13A,484A,667A
FUT3_13A,484A,667A,808A	retired		LE		FUT3_13A,484A,667A,808A
FUT3_13A,484A,667A,962A	retired		LE		FUT3_13A,484A,667A,962A
